     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -26.93739     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.81339     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.68839     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.56339     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.43939     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.31439     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.18939     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.06539     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.94039     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.81539     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.69139     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.56639     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.44139    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -25.31739    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -25.19239    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -25.06739    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -24.94239    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -24.81839    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -24.69339    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -24.56839    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00001
   -24.44439    -0.00001    -0.00000    -0.00000    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00001    -0.00004
   -24.31939    -0.00003    -0.00001    -0.00000    -0.00002    -0.00001    -0.00000    -0.00001    -0.00000    -0.00002    -0.00010
   -24.19439    -0.00006    -0.00002    -0.00000    -0.00004    -0.00001    -0.00000    -0.00002    -0.00000    -0.00003    -0.00018
   -24.07039    -0.00009    -0.00002    -0.00000    -0.00006    -0.00001    -0.00000    -0.00002    -0.00000    -0.00004    -0.00027
   -23.94539    -0.00013    -0.00003    -0.00000    -0.00007    -0.00002    -0.00000    -0.00002    -0.00000    -0.00005    -0.00033
   -23.82039    -0.00018    -0.00003    -0.00000    -0.00008    -0.00002    -0.00000    -0.00003    -0.00000    -0.00006    -0.00039
   -23.69639    -0.00022    -0.00003    -0.00000    -0.00008    -0.00002    -0.00000    -0.00003    -0.00000    -0.00006    -0.00044
   -23.57139    -0.00024    -0.00003    -0.00000    -0.00008    -0.00002    -0.00000    -0.00003    -0.00000    -0.00006    -0.00047
   -23.44639    -0.00025    -0.00003    -0.00000    -0.00008    -0.00002    -0.00000    -0.00003    -0.00000    -0.00006    -0.00047
   -23.32239    -0.00025    -0.00003    -0.00000    -0.00008    -0.00002    -0.00000    -0.00003    -0.00000    -0.00006    -0.00048
   -23.19739    -0.00025    -0.00003    -0.00000    -0.00008    -0.00002    -0.00000    -0.00003    -0.00000    -0.00006    -0.00048
   -23.07239    -0.00030    -0.00003    -0.00001    -0.00009    -0.00002    -0.00001    -0.00003    -0.00000    -0.00006    -0.00054
   -22.94739    -0.00051    -0.00004    -0.00004    -0.00009    -0.00002    -0.00001    -0.00004    -0.00000    -0.00006    -0.00081
   -22.82339    -0.00104    -0.00006    -0.00010    -0.00009    -0.00002    -0.00003    -0.00007    -0.00000    -0.00006    -0.00147
   -22.69839    -0.00173    -0.00009    -0.00018    -0.00009    -0.00002    -0.00006    -0.00010    -0.00000    -0.00007    -0.00235
   -22.57339    -0.00223    -0.00011    -0.00024    -0.00010    -0.00002    -0.00007    -0.00013    -0.00000    -0.00007    -0.00298
   -22.44939    -0.00243    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00323
   -22.32439    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00328
   -22.19939    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -22.07539    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -21.95039    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -21.82539    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -21.70139    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -21.57639    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -21.45139    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
   -21.32639    -0.00247    -0.00012    -0.00027    -0.00010    -0.00002    -0.00008    -0.00014    -0.00000    -0.00007    -0.00329
