     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -26.93739     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.81339     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000         NaN     0.00000         NaN
   -26.68839     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.56339     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.43939     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.31439     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.18939     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.06539     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.94039     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.81539     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.69139     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.56639     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.44139    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -25.31739    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -25.19239    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -25.06739    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -24.94239    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -24.81839    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -24.69339    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00001
   -24.56839    -0.00003    -0.00001    -0.00000    -0.00002    -0.00001    -0.00000    -0.00001    -0.00000    -0.00002    -0.00010
   -24.44439    -0.00011    -0.00004    -0.00000    -0.00008    -0.00003    -0.00000    -0.00003    -0.00000    -0.00006    -0.00035
   -24.31939    -0.00021    -0.00007    -0.00000    -0.00015    -0.00004    -0.00000    -0.00006    -0.00000    -0.00011    -0.00064
   -24.19439    -0.00027    -0.00006    -0.00001    -0.00016    -0.00003    -0.00001    -0.00006    -0.00000    -0.00012    -0.00071
   -24.07039    -0.00028    -0.00003    -0.00001    -0.00013    -0.00001    -0.00001    -0.00004    -0.00000    -0.00009    -0.00060
   -23.94539    -0.00033    -0.00002    -0.00000    -0.00008    -0.00000    -0.00000    -0.00002    -0.00000    -0.00005    -0.00050
   -23.82039    -0.00037    -0.00001    -0.00000    -0.00004    -0.00000    -0.00000    -0.00001    -0.00000    -0.00001    -0.00045
   -23.69639    -0.00027    -0.00001    -0.00000    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00030
   -23.57139    -0.00010    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00011
   -23.44639    -0.00002    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00002
   -23.32239    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00001
   -23.19739    -0.00008    -0.00000    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00010
   -23.07239    -0.00066    -0.00003    -0.00008    -0.00000    -0.00000    -0.00002    -0.00003    -0.00000    -0.00000    -0.00083
   -22.94739    -0.00277    -0.00011    -0.00034    -0.00002    -0.00000    -0.00010    -0.00015    -0.00000    -0.00002    -0.00351
   -22.82339    -0.00561    -0.00023    -0.00068    -0.00004    -0.00001    -0.00020    -0.00030    -0.00000    -0.00004    -0.00710
   -22.69839    -0.00548    -0.00022    -0.00067    -0.00004    -0.00001    -0.00020    -0.00029    -0.00000    -0.00003    -0.00693
   -22.57339    -0.00258    -0.00010    -0.00031    -0.00002    -0.00000    -0.00009    -0.00014    -0.00000    -0.00002    -0.00326
   -22.44939    -0.00058    -0.00002    -0.00007    -0.00000    -0.00000    -0.00002    -0.00003    -0.00000    -0.00000    -0.00074
   -22.32439    -0.00006    -0.00000    -0.00001    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00008
   -22.19939    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -22.07539    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -21.95039    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -21.82539    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -21.70139    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -21.57639    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -21.45139     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.32639     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.20239     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.07739     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.95239     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82839    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -20.70339    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -20.57839    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -20.45439    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -20.32939    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000
   -20.20439    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00000    -0.00001
   -20.08039    -0.00010    -0.00000    -0.00001    -0.00001    -0.00001    -0.00001    -0.00000    -0.00002    -0.00001    -0.00017
   -19.95539    -0.00133    -0.00006    -0.00015    -0.00018    -0.00011    -0.00007    -0.00000    -0.00030    -0.00007    -0.00227
   -19.83039    -0.01209    -0.00040    -0.00106    -0.00109    -0.00070    -0.00047    -0.00000    -0.00184    -0.00047    -0.01812
   -19.70639    -0.09092    -0.00196    -0.00524    -0.00331    -0.00215    -0.00166    -0.00000    -0.00559    -0.00146    -0.11230
   -19.58139    -0.48122    -0.00780    -0.02075    -0.00510    -0.00348    -0.00403    -0.00002    -0.00847    -0.00255    -0.53342
   -19.45639    -1.42159    -0.02085    -0.05477    -0.00463    -0.00349    -0.00770    -0.00006    -0.00685    -0.00309    -1.52302
   -19.33139    -2.28492    -0.03292    -0.08154    -0.00541    -0.00272    -0.00978    -0.00010    -0.00358    -0.00308    -2.42405
   -19.20739    -2.51176    -0.03703    -0.07487    -0.01284    -0.00178    -0.00707    -0.00015    -0.00179    -0.00261    -2.64989
