     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -26.93739     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.81339     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.68839     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.56339     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.43939     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.31439     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.18939     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.06539     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.94039     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.81539     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.69139     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.56639     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.44139     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.31739     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00001
   -25.19239     0.00001     0.00001     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00001     0.00005
   -25.06739     0.00006     0.00003     0.00000     0.00005     0.00002     0.00000     0.00002     0.00000     0.00004     0.00022
   -24.94239     0.00013     0.00006     0.00000     0.00011     0.00004     0.00000     0.00004     0.00000     0.00008     0.00046
   -24.81839     0.00015     0.00006     0.00000     0.00012     0.00004     0.00000     0.00005     0.00000     0.00009     0.00051
   -24.69339     0.00014     0.00004     0.00001     0.00009     0.00002     0.00001     0.00003     0.00000     0.00007     0.00039
   -24.56839     0.00015     0.00002     0.00001     0.00009     0.00001     0.00001     0.00002     0.00000     0.00006     0.00037
   -24.44439     0.00015     0.00001     0.00000     0.00009     0.00000     0.00000     0.00002     0.00000     0.00006     0.00033
   -24.31939     0.00011     0.00000     0.00000     0.00005     0.00000     0.00000     0.00001     0.00000     0.00003     0.00021
   -24.19439     0.00017     0.00001     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00001     0.00021
   -24.07039     0.00029     0.00001     0.00000     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00032
   -23.94539     0.00026     0.00001     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00028
   -23.82039     0.00011     0.00000     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00012
   -23.69639     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00003
   -23.57139     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -23.44639     0.00004     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00005
   -23.32239     0.00039     0.00002     0.00005     0.00000     0.00000     0.00002     0.00002     0.00000     0.00000     0.00050
   -23.19739     0.00196     0.00009     0.00025     0.00001     0.00000     0.00008     0.00011     0.00000     0.00001     0.00253
   -23.07239     0.00476     0.00021     0.00062     0.00003     0.00001     0.00020     0.00028     0.00000     0.00003     0.00615
   -22.94739     0.00558     0.00025     0.00073     0.00004     0.00001     0.00024     0.00033     0.00000     0.00004     0.00721
   -22.82339     0.00316     0.00014     0.00041     0.00002     0.00000     0.00014     0.00019     0.00000     0.00002     0.00408
   -22.69839     0.00086     0.00004     0.00011     0.00001     0.00000     0.00004     0.00005     0.00000     0.00001     0.00111
   -22.57339     0.00011     0.00000     0.00001     0.00000     0.00000     0.00000     0.00001     0.00000     0.00000     0.00015
   -22.44939     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00001
   -22.32439     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.19939     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.07539     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.95039     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.82539     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.70139     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.57639     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.45139     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.32639     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.20239     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.07739     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.95239     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.82839     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.70339     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.57839     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
